,code,rating,Unnamed: 0,total_POP,nonHispanic_POP,latitude,longitude,NAME,Hispanic_POP,Percent_Hispanic
0,AK,3.93,0,731545,678333,63.588753,-154.493062,Alaska,53212,0.07273920264645374
1,AL,4.13,1,4903185,4679907,32.318231,-86.902298,Alabama,223278,0.04553733950483206
2,AR,4.12,2,3017804,2781173,35.20105,-91.831833,Arkansas,236631,0.07841165297680035
3,AZ,4.33,3,7278717,4968127,34.048928000000004,-111.093731,Arizona,2310590,0.31744468152835176
4,CA,4.03,4,39512223,23937343,36.778261,-119.417932,California,15574880,0.3941787836133644
5,CO,4.25,5,5758736,4501832,39.550051,-105.782067,Colorado,1256904,0.21826039603135133
6,CT,4.04,6,3565287,2964332,41.60322100000001,-73.087749,Connecticut,600955,0.16855725780280806
7,DC,3.9864864864864864,7,705749,626272,38.905985,-77.03341800000003,District of Columbia,79477,0.1126136912698424
8,GA,4.04,10,10617423,9568699,32.157435,-82.907123,Georgia,1048724,0.09877387384867307
9,HI,4.13,11,1415872,1265008,19.898682,-155.66585700000005,Hawaii,150864,0.10655200470098992
10,IA,4.216981132075472,12,3155070,2956520,41.878003,-93.097702,Iowa,198550,0.06293045796131308
11,ID,4.09,13,1787065,1557575,44.068202,-114.742041,Idaho,229490,0.12841726518061738
12,IL,4.35,14,12671821,10451939,40.633125,-89.398528,Illinois,2219882,0.17518255663491458
13,IN,4.138888888888889,15,6732219,6242866,40.551217,-85.602364,Indiana,489353,0.07268821765899178
14,KS,3.8515625,16,2913314,2557241,39.011902,-98.484246,Kansas,356073,0.1222226646355319
15,KY,4.271739130434782,17,4467673,4292967,37.839333,-84.27001800000002,Kentucky,174706,0.03910447340259683
16,LA,3.738095238095238,18,4648794,4401822,31.244823,-92.145024,Louisiana,246972,0.05312603655915921
17,MA,4.02,19,6892503,6037596,42.407211,-71.382437,Massachusetts,854907,0.12403433121465453
18,MD,4.112068965517241,20,6045680,5401858,39.045755,-76.641271,Maryland,643822,0.10649290071588308
19,ME,3.6,21,1344212,1320512,45.253783,-69.44546899999999,Maine,23700,0.017631147467810138
20,MI,4.05,22,9986857,9458652,44.314844,-85.602364,Michigan,528205,0.05289001334453873
21,MN,3.982456140350877,23,5639632,5324502,46.729553,-94.6859,Minnesota,315130,0.055877759399904116
22,MO,4.0125,24,6137428,5868720,37.964253,-91.831833,Missouri,268708,0.04378185780753762
23,MS,3.6724137931034484,25,2976149,2876039,32.354668,-89.398528,Mississippi,100110,0.033637428771207366
24,MT,3.391891891891892,26,1068778,1025489,46.879682,-110.362566,Montana,43289,0.04050326634717406
25,NC,4.08,27,10488084,9462254,35.759573,-79.0193,North Carolina,1025830,0.09780909458772452
26,ND,3.380952380952381,28,762062,730530,47.551493,-101.002012,North Dakota,31532,0.04137721077812567
27,NE,3.9680851063829787,29,1934408,1714763,41.492537,-99.901813,Nebraska,219645,0.11354636664033647
28,NH,3.7698412698412698,30,1359711,1305122,43.193852,-71.572395,New Hampshire,54589,0.040147501932395926
29,NJ,4.1,31,8882190,7025346,40.058324,-74.405661,New Jersey,1856844,0.20905249718819344
30,NM,4.18,32,2096829,1063887,34.97273,-105.032363,New Mexico,1032942,0.4926210005680005
31,NV,3.25,33,3080156,2179556,38.80261,-116.419389,Nevada,900600,0.29238778815098976
32,NY,4.1,34,19453561,15702503,43.299428000000006,-74.217933,New York,3751058,0.19282114981416512
33,OH,3.96,35,11689100,11218638,40.417287,-82.907123,Ohio,470462,0.04024792327895218
34,OK,3.7567567567567566,36,3956971,3518861,35.007752,-97.092877,Oklahoma,438110,0.1107185268732068
35,OR,4.11,37,4217737,3650890,43.804133,-120.554201,Oregon,566847,0.1343960043027813
36,PA,4.13,38,12801989,11801839,41.203322,-77.194525,Pennsylvania,1000150,0.07812457892285332
37,RI,4.15,39,1059361,886717,41.580095,-71.477429,Rhode Island,172644,0.16296994131367873
38,SC,4.03,40,5148714,4841596,33.836081,-81.163725,South Carolina,307118,0.059649458097691975
39,SD,3.53,41,884659,847308,43.969515,-99.901813,South Dakota,37351,0.04222078789680544
40,TN,4.3,42,6829174,6437792,35.517491,-86.58044699999998,Tennessee,391382,0.057310298434334814
41,TX,4.2,43,28995881,17470303,31.968599,-99.901813,Texas,11525578,0.3974901814502549
42,UT,4.21,44,3205958,2743907,39.32098,-111.093731,Utah,462051,0.14412259923554832
43,VA,4.018518518518518,45,8535519,7701097,37.431573,-78.656894,Virginia,834422,0.09775878889145463
44,VT,4.057142857142857,46,623989,611270,44.55880300000001,-72.577841,Vermont,12719,0.020383372142778158
45,WA,4.19,47,7614893,6623172,47.751074,-120.740139,Washington,991721,0.130234397252857
46,WI,4.0588235294117645,48,5822434,5409226,43.78444,-88.787868,Wisconsin,413208,0.07096825829197892
47,WV,3.2872340425531914,49,1792147,1760985,38.597626,-80.454903,West Virginia,31162,0.017388082562423732
