index,county,state,POP,HISP,state_code,county_code
0,Jasper , Mississippi,237,2,28,61
1,Jones , Mississippi,3197,2,28,67
2,Walthall , Mississippi,311,2,28,147
3,Monroe , Mississippi,477,2,28,95
4,Pontotoc , Mississippi,2347,2,28,115
5,Holmes , Mississippi,202,2,28,51
6,Amite , Mississippi,166,2,28,5
7,Madison , Mississippi,3334,2,28,89
8,Calhoun , Mississippi,902,2,28,13
9,Marion , Mississippi,433,2,28,91
10,Tishomingo , Mississippi,665,2,28,141
11,Wayne , Mississippi,322,2,28,153
12,Benton , Mississippi,218,2,28,9
13,Franklin , Mississippi,89,2,28,37
14,Greene , Mississippi,169,2,28,41
15,Marshall , Mississippi,1401,2,28,93
16,Quitman , Mississippi,124,2,28,119
17,Pearl River , Mississippi,1805,2,28,109
18,Leake , Mississippi,1105,2,28,79
19,Noxubee , Mississippi,152,2,28,103
20,Neshoba , Mississippi,650,2,28,99
21,Rankin , Mississippi,4381,2,28,121
22,Tate , Mississippi,781,2,28,137
23,Panola , Mississippi,758,2,28,107
24,Perry , Mississippi,187,2,28,111
25,Yalobusha , Mississippi,207,2,28,161
26,Chickasaw , Mississippi,921,2,28,17
27,Carroll , Mississippi,163,2,28,15
28,Copiah , Mississippi,934,2,28,29
29,George , Mississippi,745,2,28,39
30,Grenada , Mississippi,333,2,28,43
31,Washington , Mississippi,761,2,28,151
32,Lawrence , Mississippi,274,2,28,77
33,Hinds , Mississippi,3613,2,28,49
34,Jefferson , Mississippi,63,2,28,63
35,Newton , Mississippi,410,2,28,101
36,Union , Mississippi,1285,2,28,145
37,Prentiss , Mississippi,397,2,28,117
38,Sullivan , Missouri,1131,2,29,211
39,Camden , Missouri,1320,2,29,29
40,Clark , Missouri,59,2,29,45
41,Jasper , Missouri,10270,2,29,97
42,Jefferson , Missouri,4704,2,29,99
43,Lewis , Missouri,182,2,29,111
44,McDonald , Missouri,2603,2,29,119
45,New Madrid , Missouri,360,2,29,143
46,Perry , Missouri,471,2,29,157
47,Polk , Missouri,813,2,29,167
48,Ralls , Missouri,138,2,29,173
49,Ray , Missouri,595,2,29,177
50,Custer , Montana,426,2,30,17
51,Schuyler , Missouri,81,2,29,197
52,Scotland , Missouri,54,2,29,199
53,Hill , Montana,662,2,30,41
54,Chouteau , Montana,161,2,30,15
55,Powder River , Montana,39,2,30,75
56,Lincoln , Montana,668,2,30,53
57,Park , Montana,549,2,30,67
58,Roosevelt , Montana,456,2,30,85
59,Treasure , Montana,29,2,30,103
60,Blaine , Montana,248,2,30,5
61,Liberty , Montana,19,2,30,51
62,Sweet Grass , Montana,109,2,30,97
63,Saunders , Nebraska,518,2,31,155
64,Scotts Bluff , Nebraska,8605,2,31,157
65,Wayne , Nebraska,615,2,31,179
66,Keya Paha , Nebraska,8,2,31,103
67,Kimball , Nebraska,338,2,31,105
68,Knox , Nebraska,279,2,31,107
69,Lincoln , Nebraska,3184,2,31,111
70,Merrick , Nebraska,390,2,31,121
71,Pierce , Nebraska,162,2,31,139
72,Sioux , Nebraska,62,2,31,165
73,Burt , Nebraska,223,2,31,21
74,Cass , Nebraska,966,2,31,25
75,Cuming , Nebraska,914,2,31,39
76,Dixon , Nebraska,829,2,31,51
77,Dundy , Nebraska,125,2,31,57
78,Grant , Nebraska,9,2,31,75
79,Greeley , Nebraska,54,2,31,77
80,Hall , Nebraska,17811,2,31,79
81,Hayes , Nebraska,50,2,31,85
82,Otoe , Nebraska,1371,2,31,131
