state,latitude,longitude,county
NY,40.81,-73.04,Suffolk
NY,40.81,-73.04,Suffolk
PR,18.16,-66.72,Adjuntas
PR,18.43,-67.15,Aguadilla
PR,18.18,-66.98,Maricao
PR,18.45,-66.73,Arecibo
PR,18.4,-66.66,Arecibo
PR,18.45,-66.53,Barceloneta
PR,18.45,-66.6,Arecibo
PR,18,-66.01,Patillas
PR,18.37,-65.9,CanÃƒÂ³vanas
PR,17.97,-66.4,Santa Isabel
PR,18.16,-66.23,Aibonito
PR,18.4,-66.06,San Juan
PR,18.4,-66.06,San Juan
PR,18.4,-66.06,San Juan
PR,18.4,-66.06,San Juan
PR,18.4,-66.06,San Juan
PR,18.4,-66.06,San Juan
PR,18.42,-66.19,Toa Baja
PR,18.39,-66.25,Toa Alta
PR,18.39,-66.25,Toa Alta
PR,18.4,-66.06,San Juan
PR,18.28,-66.13,BayamÃƒÂ³n
PR,18.28,-66.13,BayamÃƒÂ³n
PR,18.28,-66.13,BayamÃƒÂ³n
PR,18.28,-66.13,BayamÃƒÂ³n
PR,18.41,-66.15,BayamÃƒÂ³n
PR,18.43,-66.11,CataÃƒÂ±o
PR,18.43,-66.11,CataÃƒÂ±o
PR,18.38,-66.11,Guaynabo
PR,18.38,-66.11,Guaynabo
PR,18.38,-66.11,Guaynabo
PR,18.38,-66.11,Guaynabo
PR,18.38,-66.11,Guaynabo
PR,18.4,-66.06,San Juan
PR,18.36,-66.01,Trujillo Alto
PR,18.37,-66.01,San Juan
PR,18.4,-65.98,Carolina
PR,18.4,-65.98,Carolina
PR,18.4,-65.98,Carolina
PR,18.4,-65.98,Carolina
PR,18.4,-65.98,Carolina
PR,18.4,-65.98,Carolina
PR,18.4,-65.98,Carolina
PR,18.4,-65.98,Carolina
PR,18.4,-65.98,Carolina
MA,42.06,-72.61,Hampden
MA,42.37,-72.52,Hampshire
MA,42.37,-72.52,Hampshire
MA,42.37,-72.52,Hampshire
MA,42.42,-72.1,Worcester
MA,42.27,-72.4,Hampshire
MA,42.18,-72.93,Hampden
MA,42.2,-72.34,Hampden
MA,42.11,-72.2,Hampden
MA,42.28,-72.98,Hampden
MA,42.4,-72.85,Hampshire
MA,42.17,-72.57,Hampden
MA,42.17,-72.57,Hampden
MA,42.17,-72.57,Hampden
MA,42.17,-72.57,Hampden
MA,42.17,-72.57,Hampden
MA,42.46,-72.9,Hampshire
MA,42.26,-72.68,Hampshire
MA,42.06,-72.51,Hampden
MA,42.17,-73.03,Berkshire
MA,42.06,-72.67,Hampden
MA,42.35,-72.21,Worcester
MA,42.43,-72.8,Hampshire
MA,42.26,-72.52,Hampshire
MA,42.06,-72.86,Hampden
MA,42.35,-72.58,Hampshire
MA,42.06,-72.41,Hampden
MA,42.35,-72.2,Worcester
MA,42.37,-72.6,Hampshire
MA,42.39,-72.7,Hampshire
MA,42.21,-72.64,Hampden
MA,42.21,-72.64,Hampden
MA,42.23,-72.88,Hampshire
MA,42.35,-72.71,Hampshire
MA,42.45,-72.5,Franklin
MA,42.16,-72.48,Hampden
MA,42.09,-72.31,Hampden
MA,42.4,-72.52,Hampshire
MA,42.32,-72.67,Hampshire
MA,42.32,-72.67,Hampshire
MA,42.32,-72.67,Hampshire
MA,42.32,-72.67,Hampshire
MA,42.4,-72.6,Franklin
MA,42.35,-72.05,Worcester
MA,42.16,-72.32,Hampden
MA,42.51,-72.91,Hampshire
MA,42.18,-72.85,Hampden
MA,42.45,-72.4,Franklin
MA,42.23,-72.73,Hampshire
MA,42.38,-72.09,Worcester
MA,42.26,-72.56,Hampshire
MA,42.05,-72.76,Hampden
MA,42.18,-72.33,Hampden
MA,42.18,-72.37,Hampden
MA,42.06,-72.21,Hampden
MA,42.25,-72.24,Hampshire
MA,42.21,-72.19,Worcester
MA,42.41,-72.87,Hampshire
MA,42.13,-72.75,Hampden
MA,42.13,-72.75,Hampden
MA,42.39,-72.64,Hampshire
MA,42.12,-72.65,Hampden
MA,42.12,-72.65,Hampden
MA,42.2,-72.2,Worcester
MA,42.45,-72.61,Franklin
MA,42.35,-72.14,Worcester
MA,42.13,-72.43,Hampden
MA,42.4,-72.71,Hampshire
MA,42.19,-72.82,Hampden
MA,42.41,-72.93,Hampshire
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.04,-72.57,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.04,-72.57,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.1,-72.59,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.11,-72.53,Hampden
MA,42.15,-72.51,Hampden
MA,42.11,-72.53,Hampden
MA,42.1,-72.58,Hampden
MA,42.11,-72.53,Hampden
MA,42.45,-73.26,Berkshire
MA,42.45,-73.26,Berkshire
MA,42.45,-73.26,Berkshire
MA,42.62,-73.11,Berkshire
MA,42.05,-73.33,Berkshire
MA,42.33,-73.07,Berkshire
MA,42.51,-73.19,Berkshire
MA,42.55,-73.15,Berkshire
MA,42.47,-73.16,Berkshire
MA,42.47,-73.16,Berkshire
MA,42.3,-73.32,Berkshire
MA,42.19,-73.35,Berkshire
MA,42.42,-73.07,Berkshire
MA,42.25,-73.36,Berkshire
MA,42.51,-73.22,Berkshire
MA,42.3,-73.25,Berkshire
MA,42.35,-73.28,Berkshire
MA,42.36,-73.27,Berkshire
MA,42.35,-73.01,Hampshire
MA,42.12,-73.27,Berkshire
MA,42.18,-73.21,Berkshire
MA,42.68,-73.11,Berkshire
MA,42.17,-73.44,Berkshire
MA,42.19,-73.07,Berkshire
MA,42.37,-73.36,Berkshire
MA,42.11,-73.13,Berkshire
MA,42.56,-73.02,Berkshire
MA,42.1,-73.34,Berkshire
MA,42.16,-73.41,Berkshire
MA,42.07,-73.23,Berkshire
MA,42.3,-73.23,Berkshire
MA,42.3,-73.32,Berkshire
MA,42.3,-73.32,Berkshire
MA,42.24,-73.19,Berkshire
MA,42.31,-73.39,Berkshire
MA,42.7,-73.2,Berkshire
MA,42.51,-73.04,Berkshire
MA,42.58,-72.59,Franklin
MA,42.58,-72.59,Franklin
MA,42.53,-72.78,Franklin
MA,42.59,-72.23,Worcester
MA,42.66,-72.55,Franklin
MA,42.6,-72.78,Franklin
MA,42.63,-72.88,Franklin
MA,42.66,-72.68,Franklin
MA,42.51,-72.68,Franklin
MA,42.55,-72.6,Franklin
MA,42.68,-72.98,Berkshire
MA,42.6,-72.4,Franklin
MA,42.66,-72.83,Franklin
MA,42.53,-72.54,Franklin
MA,42.59,-72.55,Franklin
MA,42.72,-72.98,Franklin
MA,42.53,-72.53,Franklin
MA,42.7,-72.43,Franklin
MA,42.5,-72.33,Franklin
MA,42.7,-72.43,Franklin
MA,42.59,-72.3,Franklin
MA,42.48,-72.18,Worcester
MA,42.7,-72.9,Franklin
MA,42.68,-72.18,Worcester
MA,42.6,-72.74,Franklin
MA,42.47,-72.59,Franklin
MA,42.46,-72.58,Franklin
MA,42.59,-72.55,Franklin
MA,42.68,-72.33,Franklin
MA,42.55,-72.4,Franklin
MA,42.58,-72.37,Franklin
MA,42.58,-71.81,Worcester
MA,42.63,-71.9,Worcester
MA,42.68,-71.81,Middlesex
MA,42.56,-71.58,Middlesex
MA,42.53,-71.61,Worcester
MA,42.6,-72.07,Worcester
MA,42.53,-72.05,Worcester
MA,42.58,-71.98,Worcester
MA,42.58,-71.98,Worcester
MA,42.6,-71.57,Middlesex
MA,42.5,-71.58,Worcester
MA,42.48,-72.01,Worcester
MA,42.51,-71.77,Worcester
MA,42.53,-71.47,Middlesex
MA,42.59,-71.72,Worcester
MA,42.66,-71.58,Middlesex
MA,42.54,-71.65,Middlesex
MA,42.49,-71.61,Worcester
MA,42.55,-72.06,Worcester
MA,42.66,-71.7,Middlesex
MA,42.6,-71.57,Middlesex
MA,42.6,-71.57,Middlesex
MA,42.61,-71.62,Middlesex
MA,42.55,-71.9,Worcester
MA,42.66,-71.74,Middlesex
MA,42.68,-72.04,Worcester
MA,42.69,-72.01,Worcester
MA,42.2,-71.83,Worcester
MA,42.38,-71.63,Worcester
MA,42.01,-71.5,Worcester
MA,42.35,-71.73,Worcester
MA,42.21,-72.1,Worcester
MA,42.13,-71.96,Worcester
MA,42.13,-71.96,Worcester
MA,42.13,-71.96,Worcester
MA,42.41,-71.68,Worcester
MA,42.22,-72.04,Worcester
MA,42.05,-71.73,Worcester
MA,42.46,-71.89,Worcester
MA,42.12,-72.11,Worcester
MA,42.2,-71.68,Worcester
MA,42.35,-71.85,Worcester
MA,42.05,-72.15,Hampden
MA,42.38,-71.87,Worcester
MA,42.45,-71.66,Worcester
MA,42.25,-71.9,Worcester
MA,42.05,-71.64,Worcester
MA,42.12,-71.76,Worcester
MA,42.19,-71.76,Worcester
MA,42.03,-71.58,Worcester
MA,42.31,-72.13,Worcester
MA,42.31,-71.64,Worcester
MA,42.15,-71.65,Worcester
MA,42.27,-72.08,Worcester
MA,42.23,-71.69,Worcester
MA,42.16,-71.88,Worcester
MA,42.05,-71.64,Worcester
MA,42.11,-71.87,Worcester
MA,42.45,-71.86,Worcester
MA,42.2,-71.9,Worcester
MA,42.36,-71.95,Worcester
MA,42.3,-71.71,Worcester
MA,42.3,-71.71,Worcester
