GeoName,Description,Unit,2019
United States,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,19091662
United States,Chain-type quantity indexes for real GDP,Quantity index,117.872
United States,Current-dollar GDP (millions of current dollars),Millions of current dollars,21433226
United States,Compensation (millions of dollars),Millions of current dollars,11444495
United States,Gross operating surplus (millions of dollars),Millions of current dollars,8571191
United States,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,1417539
United States, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,1491428
United States, Subsidies (millions of dollars),Millions of current dollars,-73889
Alabama,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,200829.4
Alabama,Chain-type quantity indexes for real GDP,Quantity index,107.652
Alabama,Current-dollar GDP (millions of current dollars),Millions of current dollars,228142.6
Alabama,Compensation (millions of dollars),Millions of current dollars,126892.8
Alabama,Gross operating surplus (millions of dollars),Millions of current dollars,88069.6
Alabama,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,13180.2
Alabama, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,13774
Alabama, Subsidies (millions of dollars),Millions of current dollars,-593.7
Alaska,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,53255.2
Alaska,Chain-type quantity indexes for real GDP,Quantity index,92.269
Alaska,Current-dollar GDP (millions of current dollars),Millions of current dollars,54385.6
Alaska,Compensation (millions of dollars),Millions of current dollars,29231.9
Alaska,Gross operating surplus (millions of dollars),Millions of current dollars,20791.5
Alaska,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,4362.2
Alaska, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,4476.1
Alaska, Subsidies (millions of dollars),Millions of current dollars,-113.9
Arizona,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,323597.6
Arizona,Chain-type quantity indexes for real GDP,Quantity index,120.715
Arizona,Current-dollar GDP (millions of current dollars),Millions of current dollars,370119.1
Arizona,Compensation (millions of dollars),Millions of current dollars,203864
Arizona,Gross operating surplus (millions of dollars),Millions of current dollars,142217.3
Arizona,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,24037.7
Arizona, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,24847.6
Arizona, Subsidies (millions of dollars),Millions of current dollars,-809.8
Arkansas,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,117447.1
Arkansas,Chain-type quantity indexes for real GDP,Quantity index,109.031
Arkansas,Current-dollar GDP (millions of current dollars),Millions of current dollars,130954.1
Arkansas,Compensation (millions of dollars),Millions of current dollars,73354.2
Arkansas,Gross operating surplus (millions of dollars),Millions of current dollars,48087.1
Arkansas,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,9512.8
Arkansas, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,10736.5
Arkansas, Subsidies (millions of dollars),Millions of current dollars,-1223.6
California,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,2800505.4
California,Chain-type quantity indexes for real GDP,Quantity index,130.615
California,Current-dollar GDP (millions of current dollars),Millions of current dollars,3132800.6
California,Compensation (millions of dollars),Millions of current dollars,1616261.1
California,Gross operating surplus (millions of dollars),Millions of current dollars,1326813.4
