,code,total_POP,nonHispanic_POP,latitude,longitude,NAME,Hispanic_POP,Percent_Hispanic
0,AK,731545,678333,63.588753000000004,-154.493062,Alaska,53212,0.07273920264645374
1,AL,4903185,4679907,32.318231,-86.902298,Alabama,223278,0.04553733950483206
2,AR,3017804,2781173,35.20105,-91.83183299999999,Arkansas,236631,0.07841165297680035
3,AZ,7278717,4968127,34.048928000000004,-111.093731,Arizona,2310590,0.31744468152835176
4,CA,39512223,23937343,36.778261,-119.41793200000001,California,15574880,0.3941787836133644
5,CO,5758736,4501832,39.550051,-105.782067,Colorado,1256904,0.21826039603135133
6,CT,3565287,2964332,41.603221000000005,-73.087749,Connecticut,600955,0.16855725780280803
7,DC,705749,626272,38.905985,-77.03341800000001,District of Columbia,79477,0.1126136912698424
8,DE,973764,880373,38.910832,-75.52767,Delaware,93391,0.09590722187306165
9,FL,21477737,15813877,27.664827000000002,-81.515754,Florida,5663860,0.26370841583543
10,GA,10617423,9568699,32.157435,-82.907123,Georgia,1048724,0.09877387384867307
11,HI,1415872,1265008,19.898682,-155.66585700000002,Hawaii,150864,0.10655200470098992
12,IA,3155070,2956520,41.878003,-93.097702,Iowa,198550,0.06293045796131307
13,ID,1787065,1557575,44.068202,-114.74204099999999,Idaho,229490,0.12841726518061738
14,IL,12671821,10451939,40.633125,-89.398528,Illinois,2219882,0.17518255663491458
15,IN,6732219,6242866,40.551217,-85.602364,Indiana,489353,0.07268821765899178
16,KS,2913314,2557241,39.011902,-98.484246,Kansas,356073,0.1222226646355319
17,KY,4467673,4292967,37.839333,-84.27001800000001,Kentucky,174706,0.03910447340259683
18,LA,4648794,4401822,31.244822999999997,-92.14502399999999,Louisiana,246972,0.05312603655915921
19,MA,6892503,6037596,42.407211,-71.382437,Massachusetts,854907,0.12403433121465453
20,MD,6045680,5401858,39.045755,-76.641271,Maryland,643822,0.10649290071588308
21,ME,1344212,1320512,45.253783,-69.44546899999999,Maine,23700,0.017631147467810138
22,MI,9986857,9458652,44.314844,-85.602364,Michigan,528205,0.05289001334453873
23,MN,5639632,5324502,46.729553,-94.6859,Minnesota,315130,0.05587775939990411
24,MO,6137428,5868720,37.964253,-91.83183299999999,Missouri,268708,0.04378185780753762
25,MS,2976149,2876039,32.354668,-89.398528,Mississippi,100110,0.03363742877120736
26,MT,1068778,1025489,46.879682,-110.36256599999999,Montana,43289,0.04050326634717406
27,NC,10488084,9462254,35.759572999999996,-79.0193,North Carolina,1025830,0.09780909458772451
28,ND,762062,730530,47.551493,-101.002012,North Dakota,31532,0.041377210778125666
29,NE,1934408,1714763,41.492537,-99.901813,Nebraska,219645,0.11354636664033647
30,NH,1359711,1305122,43.193852,-71.572395,New Hampshire,54589,0.040147501932395926
31,NJ,8882190,7025346,40.058324,-74.405661,New Jersey,1856844,0.20905249718819346
32,NM,2096829,1063887,34.97273,-105.03236299999999,New Mexico,1032942,0.4926210005680005
33,NV,3080156,2179556,38.802609999999994,-116.419389,Nevada,900600,0.29238778815098976
34,NY,19453561,15702503,43.299428000000006,-74.217933,New York,3751058,0.19282114981416512
35,OH,11689100,11218638,40.417287,-82.907123,Ohio,470462,0.040247923278952186
36,OK,3956971,3518861,35.007752,-97.092877,Oklahoma,438110,0.11071852687320681
37,OR,4217737,3650890,43.804133,-120.554201,Oregon,566847,0.1343960043027813
38,PA,12801989,11801839,41.203322,-77.194525,Pennsylvania,1000150,0.07812457892285332
39,RI,1059361,886717,41.580095,-71.477429,Rhode Island,172644,0.16296994131367873
40,SC,5148714,4841596,33.836081,-81.163725,South Carolina,307118,0.05964945809769197
41,SD,884659,847308,43.969515,-99.901813,South Dakota,37351,0.04222078789680544
42,TN,6829174,6437792,35.517491,-86.58044699999999,Tennessee,391382,0.057310298434334814
43,TX,28995881,17470303,31.968598999999998,-99.901813,Texas,11525578,0.39749018145025494
44,UT,3205958,2743907,39.32098,-111.093731,Utah,462051,0.14412259923554832
45,VA,8535519,7701097,37.431573,-78.656894,Virginia,834422,0.09775878889145463
46,VT,623989,611270,44.558803000000005,-72.577841,Vermont,12719,0.020383372142778158
47,WA,7614893,6623172,47.751073999999996,-120.74013899999999,Washington,991721,0.130234397252857
48,WI,5822434,5409226,43.784440000000004,-88.787868,Wisconsin,413208,0.07096825829197892
49,WV,1792147,1760985,38.597626,-80.454903,West Virginia,31162,0.01738808256242373
50,WY,578759,520150,43.075967999999996,-107.29028400000001,Wyoming,58609,0.10126667576659715
