,nameRest,latitudeRest,longitudeRest,rating,code
0,El Dorado,61.18137,-149.86848,4.5,AK
1,Serrano's Mexican Grill,61.1955753109894,-149.880023123542,4.0,AK
2,Tequila 61,61.2185679844363,-149.890711158514,4.0,AK
3,Pancho's Villa,61.1920356750488,-149.906478881836,4.0,AK
4,Xalos Mexican Grill,61.220093,-149.8193321,4.0,AK
5,El Jefe Taco Joint,61.174022,-149.882671,4.5,AK
6,Seoul Casa,61.1456216856811,-149.869214947864,4.5,AK
7,Clandestino,61.2186372358068,-149.877783916891,4.5,AK
8,Pedro's Mexican Grill,61.2069567826196,-149.807691089809,4.5,AK
9,El Green-Go's,61.218552,-149.904349,4.5,AK
10,Xalos Burrito Express,61.1288012229088,-149.884616374962,4.0,AK
11,Xalos Burrito Express,61.1884614061777,-149.8691625553965,4.5,AK
12,La Cabana Mexican Restaurant,61.2183028641787,-149.87865551430167,3.5,AK
13,EL Pastor,61.33183,-149.568567,4.5,AK
14,Oscar's Taco Grande,61.2194350343344,-149.85786069397,4.0,AK
15,Serrano's Mexican Grill,61.1805326,-149.833257,4.0,AK
16,Los Arcos,61.1657219,-149.8451996,3.5,AK
17,Taco Loco,61.173325,-149.894096,4.5,AK
18,Mexico In Alaska Restaurant,61.15465,-149.86322,3.5,AK
19,El Rodeo Mexican Restaurant,61.21882,-149.73316,4.0,AK
20,Taco King,61.195692,-149.883845,3.5,AK
21,Burrito Heaven,61.2220344543457,-149.779144287109,4.0,AK
22,Hacienda Mexican Restaurant,61.21028,-149.76246,3.5,AK
23,Gallo's Mexican Restaurant,61.1425704956055,-149.863220214844,3.0,AK
24,Don Jose's,61.1949043273926,-149.842041015625,3.0,AK
25,Mexico Lindo,61.18101,-149.90613,4.5,AK
26,Burrito Azteca,61.171954725519,-149.968131780624,5.0,AK
27,Mochileros Street Food,61.130152,-149.860117,4.5,AK
28,Jalapeno's,61.327106,-149.568842,4.0,AK
29,Tasty Traveler,61.2139944,-149.9016976,5.0,AK
30,Burrito Factory,61.19478,-149.77807,4.0,AK
31,Benny's Food Wagon,61.19273,-149.87166,4.5,AK
32,Garcia's Cantina & Cafe,61.3278923034668,-149.572082519531,3.0,AK
33,Las Margaritas Mexican & Italian Restaurant,61.14522,-149.88964,3.0,AK
34,Taco King,61.18114,-149.81375,4.0,AK
35,AK Alchemist,61.2188408,-149.883622,4.0,AK
36,Bear Tooth Grill,61.19599,-149.9075,4.0,AK
37,Chepo's Mexican Restaurant,61.3249740600586,-149.569366455078,3.5,AK
38,Bear Tooth Theatre Pub,61.1960247699159,-149.907248783846,4.5,AK
39,La Mex,61.1461962,-149.8790405,2.5,AK
40,Jalapeno's,61.1173717157889,-149.863388165832,3.0,AK
41,Burrito King,61.18629,-149.88354,3.0,AK
42,Gallo's Mexican Restaurant,61.1452562783471,-149.891429704649,3.0,AK
43,Taco King,61.2309784673807,-149.873397746872,4.0,AK
44,Taco King,61.17655,-149.94188,3.5,AK
45,International House Of Hotdogs,61.21826,-149.90314,5.0,AK
46,Southside Grill,61.10361,-149.8593,4.5,AK
47,Kava's,61.197959,-149.886102,3.0,AK
48,Lunas Mexican Food,61.234705,-149.766508,3.5,AK
49,Johnny's Kitchen Food Truck,61.220288199974426,-149.85697456672102,4.0,AK
50,El Barrio,33.5169035,-86.8030741,4.5,AL
51,Maya Mexican Restaurant,33.4662097592089,-86.8212451057358,4.5,AL
52,Taqueria Mexico,33.379987,-86.800498,4.0,AL
53,Los Amigos Mexican Restaurant,33.5117725,-86.78779267,4.0,AL
54,La Calle Tacos & Snacks,33.640365,-86.630612,4.5,AL
55,Baja California Cantina and Grill,33.387425,-86.808184,4.5,AL
56,Taqueria Tafoya,33.6090149851921,-86.6876620678922,4.5,AL
57,Margaronas Cantina,33.44705,-86.82785,4.0,AL
58,Tostadas,33.48103,-86.79035,4.0,AL
59,Taqueria Los Primos,33.40003,-86.8025716,4.0,AL
60,Little Donkey - Homewood,33.479426,-86.794907,3.5,AL
61,Sol Y Luna,33.48694,-86.773982,4.0,AL
62,Cantina Grill,33.1912928,-86.8255061,4.5,AL
63,Los Pedros Mexican Gril,33.393721096614634,-86.79753010406603,3.5,AL
64,Casa Fiesta Mexican Grill,33.4200853,-86.6964838,4.0,AL
65,Tacos El Paisano,33.3247849,-86.7060372,4.5,AL
66,El Zunzun,33.456676,-86.730498,3.5,AL
67,Cafe Castillo,33.3692496889475,-86.8129982896926,5.0,AL
68,Rojo,33.5060159,-86.781024,4.0,AL
69,Barrio Fiesta Mexican Grill,33.23737820255251,-86.8023823552306,3.5,AL
70,Tecate Bar & Grill,33.44848,-86.79121,4.0,AL
71,Taqueria La Juanita,33.54445873430333,-86.55325521181027,4.5,AL
72,Los Arcos,33.5280050303641,-86.7317867573508,4.0,AL
73,Las Trojas Cantina,33.4219740441358,-86.6822724141813,3.5,AL
74,El Taco Loco,33.4755764901638,-86.8159127980471,4.0,AL
75,Gordos,33.4725979786838,-86.8201358444837,4.5,AL
76,Maravilla’s Mexican Grill,33.58237967,-86.92064933,5.0,AL
77,Unos Tacos,33.51416,-86.80798,4.0,AL
78,Mexico Lindo,33.4826087,-86.7778588,3.5,AL
79,Las Mesas Mexican Grill,33.1449828125054,-86.7502175324004,4.0,AL
80,Los Rancheros Mexican Grill,33.426362,-86.772164,4.0,AL
81,Luna Latin Cuisine,33.52513,-86.77398,4.5,AL
82,Tacos La Tia Paisa,33.47075,-86.82614,4.0,AL
83,Pancho's Mexican Grill,33.5289209013799,-86.718313911259,4.0,AL
84,La Cabanita,33.77540333,-86.47094167,4.0,AL
85,Taco Morro Loco,33.5222375859211,-86.7726691231694,4.0,AL
86,Iguana Grill,33.383488,-86.794835,4.0,AL
